grain_id,phase_id,phase_name,area_px,area_um2,centroid_x_px,centroid_y_px,bbox_min_row,bbox_min_col,bbox_max_row,bbox_max_col,perimeter_px,equiv_diameter_px
161,0,SecondPhase,167,20.457499999999996,967.0958083832336,362.1137724550898,338,962,386,974,103.11269837220809,14.581872443920643
162,0,SecondPhase,107,13.107499999999998,473.4766355140187,344.2897196261682,339,465,350,482,45.698484809834994,11.67204486311899
163,0,SecondPhase,248,30.379999999999995,923.7903225806451,349.0806451612903,341,911,357,940,73.94112549695427,17.769732893161912
164,0,SecondPhase,243,29.767499999999995,817.5720164609054,357.275720164609,342,807,375,827,82.01219330881975,17.58969042850512
165,0,SecondPhase,614,75.21499999999999,556.4690553745928,359.6416938110749,343,523,382,587,243.03657992645924,27.96013377055607
166,0,SecondPhase,146,17.884999999999998,575.6712328767123,354.7191780821918,346,557,364,589,75.18376618407356,13.63425735166143
167,0,SecondPhase,653,79.99249999999999,159.29862174578867,362.17151607963245,347,130,377,193,196.40916292848976,28.834448541840736
168,0,SecondPhase,71,8.697499999999998,88.91549295774648,361.9577464788732,355,85,368,94,32.935028842544405,9.507891862878783
169,0,SecondPhase,7,0.8574999999999999,272.2857142857143,357.57142857142856,357,271,359,275,7.207106781186548,2.985410660720923
170,0,SecondPhase,64,7.839999999999999,736.640625,363.125,357,733,371,741,35.72792206135785,9.0270333367641
171,0,SecondPhase,295,36.137499999999996,936.2237288135593,372.94237288135594,359,926,389,948,88.42640687119285,19.38054864282415
172,0,SecondPhase,27,3.3074999999999997,109.18518518518519,366.51851851851853,364,106,369,114,17.27817459305202,5.863230142835039
173,0,SecondPhase,8,0.9799999999999999,100.75,365.875,365,99,368,103,8.242640687119286,3.1915382432114616
174,0,SecondPhase,1155,141.48749999999998,236.88917748917748,424.2077922077922,367,217,477,252,364.69343417595167,38.34829427978659
175,0,SecondPhase,115,14.087499999999999,429.76521739130436,373.8434782608696,367,423,382,435,41.798989873223334,12.100518486599809
176,0,SecondPhase,60,7.349999999999999,207.48333333333332,374.1166666666667,370,203,379,213,28.14213562373095,8.740387444736633
177,0,SecondPhase,69,8.452499999999999,135.40579710144928,379.6521739130435,372,131,389,140,41.21320343559643,9.373021315815206
178,0,SecondPhase,207,25.357499999999998,843.6666666666666,379.41062801932367,373,831,387,856,61.11269837220809,16.23454913941803
179,0,SecondPhase,60,7.349999999999999,251.75,378.3333333333333,376,246,382,259,29.31370849898476,8.740387444736633
180,0,SecondPhase,727,89.05749999999999,416.37689133425033,395.0866574965612,376,379,431,443,221.5573952066306,30.424416987387996
181,0,SecondPhase,5,0.6124999999999999,794.0,379.0,378,793,381,796,5.656854249492381,2.5231325220201604
182,0,SecondPhase,14,1.7149999999999999,558.6428571428571,381.7857142857143,380,557,385,561,11.071067811865476,4.222008245644752
183,0,SecondPhase,289,35.402499999999996,593.4186851211073,396.8650519031142,380,586,411,606,81.84062043356595,19.182445840623714
184,0,SecondPhase,15,1.8374999999999997,213.46666666666667,382.6,381,211,385,217,12.485281374238571,4.370193722368317
185,0,SecondPhase,41,5.022499999999999,363.609756097561,386.1951219512195,383,361,391,369,22.727922061357855,7.225151993843567
186,0,SecondPhase,97,11.882499999999999,340.88659793814435,393.6082474226804,385,334,402,352,49.698484809834994,11.11324596323283
187,0,SecondPhase,239,29.277499999999996,865.6192468619247,394.6317991631799,387,854,403,882,73.94112549695427,17.44431859350499
188,0,SecondPhase,134,16.415,254.0820895522388,393.82089552238807,389,245,400,265,48.62741699796952,13.061933202803933
189,0,SecondPhase,317,38.832499999999996,950.8832807570977,397.22082018927443,389,935,407,965,88.42640687119285,20.090219901261573
190,0,SecondPhase,278,34.05499999999999,131.79856115107913,412.5143884892086,390,119,431,142,120.22539674441617,18.81384047546846
191,0,SecondPhase,208,25.479999999999997,634.8028846153846,398.2307692307692,392,615,406,649,85.49747468305833,16.273715780512877
192,0,SecondPhase,517,63.33249999999999,917.9864603481625,410.50870406189557,393,884,434,949,228.5929291125633,25.65667251667837
193,0,SecondPhase,481,58.92249999999999,777.1018711018711,434.62370062370064,395,759,460,804,199.30865786510142,24.747287144606645
194,0,SecondPhase,363,44.467499999999994,544.4269972451791,408.36914600550966,397,529,426,557,110.46803743153546,21.498510523728477
195,0,SecondPhase,98,12.004999999999999,458.8673469387755,403.3265306122449,399,446,407,475,62.97056274847714,11.170383851240114
196,0,SecondPhase,71,8.697499999999998,502.22535211267603,403.77464788732397,400,495,408,510,35.55634918610404,9.507891862878783
197,0,SecondPhase,65,7.962499999999999,621.4307692307692,412.4307692307692,408,617,419,626,30.384776310850235,9.09728368293446
198,0,SecondPhase,189,23.152499999999996,258.69312169312167,421.5291005291005,412,252,433,266,60.04163056034261,15.512648837479231
199,0,SecondPhase,319,39.07749999999999,655.3887147335423,429.846394984326,415,640,442,678,125.08935777509511,20.153496341094687
200,0,SecondPhase,177,21.682499999999997,990.8587570621469,423.8813559322034,415,984,434,1000,67.97665940288701,15.012108426804138
201,0,SecondPhase,7,0.8574999999999999,1016.7142857142857,419.57142857142856,419,1015,421,1019,7.207106781186548,2.985410660720923
202,0,SecondPhase,47,5.757499999999999,151.14893617021278,425.17021276595744,422,147,429,158,26.727922061357855,7.735777827895049
203,0,SecondPhase,518,63.45499999999999,937.5289575289576,446.75868725868725,424,912,464,962,135.82337649086284,25.68147355921802
204,0,SecondPhase,28,3.4299999999999997,162.5,433.5,430,159,438,167,20.970562748477143,5.970821321441846
205,0,SecondPhase,796,97.50999999999999,418.74874371859295,462.3467336683417,430,404,508,449,260.79393923934,31.83549399034338
206,0,SecondPhase,3,0.36749999999999994,443.6666666666667,431.3333333333333,431,443,433,445,3.414213562373095,1.9544100476116797
207,0,SecondPhase,272,33.31999999999999,717.9632352941177,438.2757352941176,431,697,447,735,97.84062043356595,18.609705966725112
208,0,SecondPhase,91,11.147499999999999,910.7032967032967,443.24175824175825,432,907,452,914,45.31370849898476,10.764051215546116
209,0,SecondPhase,58,7.104999999999999,750.7586206896551,438.4655172413793,435,747,443,756,25.31370849898476,8.593479713983122
210,0,SecondPhase,650,79.62499999999999,997.6923076923077,448.1323076923077,435,959,462,1024,277.38582233137674,28.76813695875796
211,0,SecondPhase,384,47.03999999999999,15.361979166666666,445.6380208333333,436,0,456,38,98.97665940288701,22.111625566165472
212,0,SecondPhase,85,10.412499999999998,543.635294117647,443.8588235294118,437,539,452,552,44.00609665440987,10.403141895720198
213,0,SecondPhase,103,12.617499999999998,111.55339805825243,445.6601941747573,441,106,453,120,39.798989873223334,11.451797811161432
214,0,SecondPhase,29,3.5524999999999993,457.48275862068965,445.1034482758621,442,451,449,465,27.82842712474619,6.076507779746499
215,0,SecondPhase,26,3.1849999999999996,256.6923076923077,451.1923076923077,449,254,454,261,17.071067811865476,5.753627391751592
216,0,SecondPhase,10,1.2249999999999999,468.7,450.2,449,467,452,472,8.82842712474619,3.5682482323055424
217,0,SecondPhase,115,14.087499999999999,886.2260869565217,453.504347826087,449,872,459,902,64.8700576850888,12.100518486599809
218,0,SecondPhase,6,0.7349999999999999,428.1666666666667,452.8333333333333,452,427,455,430,6.242640687119286,2.763953195770684
219,0,SecondPhase,1,0.12249999999999998,472.0,452.0,452,472,453,473,0.0,1.1283791670955126
220,0,SecondPhase,1,0.12249999999999998,474.0,453.0,453,474,454,475,0.0,1.1283791670955126
221,0,SecondPhase,88,10.78,818.0340909090909,459.32954545454544,455,812,465,825,34.384776310850235,10.585134856802455
222,0,SecondPhase,313,38.342499999999994,863.297124600639,472.6549520766773,458,854,488,872,90.91168824543142,19.963065333312567
223,0,SecondPhase,427,52.30749999999999,100.04683840749415,469.864168618267,461,77,477,126,126.22539674441617,23.31680264534386
